osm_id,latitude,longitude,name,type
3952806162,46.0605165076515,11.2396144866943,City Caffè di Dall'Eva Evelyn,bar
5763526116,46.009407204326,11.2999749183655,La Stua,pizzeria
106278934,46.0696280931225,11.2230491638184,Salone Prestige di Manuardi Crocefissa,parrucchiera
42028965,46.060069822638,11.239732503891,Orthosanitari,negozio
5806113513,46.0529521539184,11.4583218097687,Bar Bistrò 29,bar
2393235151,45.9926385440303,11.26296043396,Bar Blue Coffeee,bar
9780395570,46.0644248473714,11.2447428703308,Daniela,bar
475825804,46.0509864435783,11.2227702140808,La Tana dei Golosi di Garbari sas,ristorante
92289735,46.115847694466,11.6611289978027,Scuola di Sci Lagorai,scuolasci
3086518752,46.0786786365809,11.5522313117981,Az. Agricola Busarello,prodottitipici
6575340093,45.9905365135366,11.6682314872742,Bar Da Toni,bar
85540804,46.0556623367752,11.2364816665649,Poli Supermercati,alimentari
85540804,46.0559229242714,11.2365567684174,For Edil,negozio
7687845073,46.0583426065843,11.2374472618103,Bar Cuba,bar
1300059484,46.0602633865876,11.2373292446136,Sapori e Saperi di F&H Dynamics ,ristorante
391905243,46.0614768681936,11.2432837486267,Pradart,negozio
293233409,46.1033516879063,11.211279630661,Bar Commercio,bar
3951262747,46.0609929676828,11.2419104576111,White Cafè,bar
511337508,46.0161132454348,11.3154244422913,Scaranò,ristorante
6959505773,46.0533542224146,11.4575386047363,Ritrovo dei Sapori,bar
1111843220,46.0679383947018,11.2229740619659,Emmedi,negozio
86253430,46.0570248235189,11.2367069721222,Lampadari Pergine,negozio
3752066674,46.0030431645636,11.3692188262939,Arte Sella,museo
42028965,46.060051210684,11.2398451566696,Bar bianco,bar
4613996420,46.060799406291,11.2374687194824,Autopergine di De Mori Giuseppe,automoto
36851176,46.0688762953666,11.2568879127502,All'Oton,birreria
24695116,46.0636878673345,11.2418675422668,Salone Miriam di Ruzza Miriam,parrucchiera
4941869749,46.0698886147082,11.2212574481964,Enovalsugana Sas di Baldi Massimo,prodottitipici
25152033,46.0787679437585,11.2278985977173,Weber Mara,tabacchino
293868272,46.0612981977296,11.2385094165802,Bottega del Caffè Dersut,bar
7687845066,46.0591764417697,11.2372541427612,Bar Bazar,bar
4456452995,46.0694643360678,11.2387132644653,Parrucchieri Michele Hayr Stilist,parrucchiera
77499834,46.0575236490563,11.2380480766296,Laner Tessuti e Arredo Casa,negozio
458708907,46.0571513916192,11.3129138946533,Scuola di Sci Panarotta 2002,scuolasci
5731565816,46.053339331041,11.4580965042114,Bar Da Carlo (Bar Bianco),bar
977861430,46.0275861408122,11.2296581268311,Albergo Valcanover,ristorante
6593002854,46.0718759817634,11.4721512794495,Bar Baltik,bar
1111843220,46.0679383947018,11.2229740619659,Darene srl,negozio
42028965,46.0596901375352,11.239367723465,La Dote di Sandra,abbigliamento
413711732,46.0682733610544,11.6113257408142,Farmacia Montelisciani,farmacia
5774806150,46.009220913799,11.3093841075897,Bar Adriano,bar
120294547,46.0128646426197,11.2670803070068,Veg Point,ristorante
228591581,46.0607472934926,11.2389922142029,Il confetto,negozio
468998808,46.0501524847217,11.2524461746216,Albergo Miramonti,ristorante
105642334,46.014250537803,11.2667798995972,Bar - One Rosso,pizzeria
26769365,46.0660699895347,11.232168674469,Colorificio Dueffe,negozio
189146144,46.0660551015902,11.2413954734802,Pane e Fantasia,alimentari
196838025,46.060151715161,11.2405371665955,Confezione Lucia di Hu Chunlan,abbigliamento
3950175833,46.0637623102092,11.2416958808899,Motor Sport,automoto
427063916,45.9786085879012,11.5910911560059,Rifugio Barricata,ristorante
331244264,46.0653255873891,11.2491416931152,Vicentini Andrea,automoto
26769365,46.065772229881,11.2325978279114,CONAD,alimentari
228760226,46.0505098972021,11.2215042114258,Bar Dal Pozzo Debora,bar
413711735,46.0688018593881,11.6070771217346,Bar Centrale,bar
373734504,46.0632933184229,11.243509054184,Dalsasso Eugenio,abbigliamento
1049118724,46.0722332536453,11.2359237670898,Latte Trento,prodottitipici
497095123,46.0384012615909,11.2369644641876,La Darsena,pizzeria
1171497715,46.1050179857986,11.2118482589722,Famiglia Cooperativa,alimentari
1111843220,46.0679383947018,11.2229740619659,Conte of Florence,abbigliamento
5763437488,46.0118810830332,11.2992453575134,La Ciotola,souvenir
10950812636,46.0656084613869,11.2364816665649,Salone Pazza Idea,parrucchiera
1224361145,46.0619458754105,11.2425971031189,Bancarella 3,abbigliamento
3952821558,46.062764767349,11.2429511547089,Andreatta Sergio,negozio
499995766,45.9921018629831,11.2617373466492,Farmacia Maistri e Girardi,farmacia
196838025,46.0600549330753,11.2405157089233,Puff Store,negozio
4663505349,46.0517757144695,11.4579892158508,Bar Cantinota,bar
26789155,46.0595486855548,11.2379837036133,Sanità - Laboratorio ortopedico,negozio
225334851,45.9571765971136,11.3289642333984,Vezzena,ristorante
