route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
497,0000000592017091120180607,0002868632017091120180607,Pomarolo Chiesa,0,D1128_R5506b_Ritorno_sub2,
488,0000000592017091120180607,0002868642017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000822017091120180607,0002868652017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000592017091120180607,0002868662017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000592017091120180607,0002868672017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000592017091120180607,0002868682017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000592017091120180607,0002868692017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
497,0000000592017091120180607,0002868702017091120180607,Nomi Piazza Springa,0,D447_R5554a_Ritorno_sub1,
497,0000000592017091120180607,0002868712017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868722017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868732017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868742017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000662017091120180607,0002868752017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000662017091120180607,0002868762017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000662017091120180607,0002868772017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868782017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868792017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868802017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000592017091120180607,0002868812017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
488,0000000592017091120180607,0002868922017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000662017091120180607,0002868932017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
497,0000000822017091120180607,0002868942017091120180607,Nomi Piazza Springa,0,D447_R5554a_Ritorno_sub1,
497,0000000592017091120180607,0002868952017091120180607,Nomi Piazza Springa,0,D1133_R5558c_Ritorno_sub1,
488,0000000662017091120180607,0002868962017091120180607,Pomarolo Via Degasperi,0,D351_R5154b_Ritorno_sub1,1
575,0000000672017091120180607,0002868972017091120180607,Lago di Cei Bellaria,0,D1170_R5E310_sub2,1
497,0000000592017091120180607,0002868982017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
488,0000000822017091120180607,0002868992017091120180607,Pomarolo Via Degasperi,0,D363_R5164b_Ritorno_sub2,1
488,0000000592017091120180607,0002869032017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000662017091120180607,0002869042017091120180607,Pomarolo Via Degasperi,0,D363_R5164b_Ritorno_sub2,1
488,0000000592017091120180607,0002869052017091120180607,Pomarolo Via Degasperi,0,D102_E5160a_Ritorno_via_Pomarolo_sub1,1
488,0000000592017091120180607,0002869062017091120180607,Pomarolo Via Degasperi,0,D365_R5170a_Ritorno_sub2,1
488,0000000602017091120180607,0002869072017091120180607,Piazzale Orsi Stazione Fs,0,D269_F5126a_Ritorno_sub1,1
496,0000000662017091120180607,0002869112017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
488,0000000602017091120180607,0002869142017091120180607,Corso Bettini Liceo,0,D347_R5138_Ritorno_sub1,1
512,0000000602017091120180607,0002869152017091120180607,Cisterna Capolinea,0,D990_C5741a_sub1,2
562,0000000592017091120180607,0002869162017091120180607,Via 13 Settembre,0,D1064_R5072_sub2,1
