id,latitude,longitude,name,type,osm_id
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd3078,46.224065,11.312398,Linard,bar,76788043
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd31d9,46.175317,11.220597,Bar Vico,bar,97554072
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd3704,46.16151,11.303131,TORREFAZIONE TRIVENETA,prodottitipici,122919173
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d58,46.145589,11.201257,Nord Salotto ,casalinghi,110448041
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39ce,46.142534,11.195582,FARMACIA DR.SSA CREMONESI (ALBIANO),farmacia,1183435147
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd392c,46.134609,11.249133,Serraia,bar,26135723
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32bb,46.088699,11.180879,Calzature Molinari,abbigliamento,102219048
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd3084,46.083337,11.199099,LIDL,alimentari,9201653
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3938,46.194559,11.208489,Happy Ranch Saloon,bar,12135177861
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39e0,46.088502,11.186546,DR.SSA DANILA MATTIVI (CIVEZZANO),dentista,30076424
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3505,46.15909,11.328551,MALGA STRAMAIOLO,agriturismo,12053617038
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd370a,46.133806,11.257112,Bar piccolo paradiso,bar,927947054
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32e2,46.2173,11.3267,HOTEL TIROL NATURAL IDYLL,hotel,216511654
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd305d,46.130073,11.244584,Al Bivio,bar,258446708
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd37be,46.157135,11.152254,Tabacchino Zangrando,tabacchino,2468231580
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd350d,46.132492,11.246988,Malga Stramaiolo,agriturismo,832929590
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd395c,46.1811,11.2363,SAVOI MARIA GRAZIA,appartamentovacanze,253309861
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd37d0,46.117138,11.205357,TABACCHI CARESIA SERENA,tabacchino,168154138
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3614,46.141688,11.258524,Ioriatti Liliana,alimentari,605427557
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3956,46.131337,11.241507,Scuola elementare ,servizimunicipali,24761328
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd351a,46.22117,11.315841,MUNICIPIO DI SOVER,servizimunicipali,1224940106
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32f4,46.1325,11.2377,BORTOLOTTI ARMANDO,appartamentovacanze,605430567
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd361b,46.096076,11.234635,NADIA (BASELGA DI PINE'),parrucchiera,82604931
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b60,46.133159,11.245612,Negozio Alles Sport,negoziosport,293233391
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3950,46.143058,11.118222,Gourmet Relais & Maso Franch,bar,1219539037
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2f9c,46.144035,11.218902,AL LAGO,ristorante,126261128
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd37ac,46.132016,11.243678,Sport,bar,24756549
